8
"Дания 1934 - Часы";Металл;2;"ABCDEFGHIJKLMNOPQRSTUÜVWXYZÆ∅";"ACPYRFQZDHÆEIU∅KJUSLVNMWGBOX"
"Диск Альберти";Бронза;2;"gklnprtvz&xysomqihfdbace";"ABCDEFGILMNOPQRSTVXZ1234"
"Диск Болтона";Бумага;4;"098765432109876543210987654321";"ZYXWVUTSRQPONMLKJIHGFEDCBA?.,-";"123456789012345678901234567890";"ABCDEFGHIJKLMNOPQRSTUVWXYZ-,.?"
"Диск Г.Шотта";Бумага;2;"ABCDEFGHIJKLMNOPQRSTUVWXYZ";"ABCDEFGHIJKLMNOPQRSTUVWXYZ"
"Диск Д.Водсворта";Металл;2;"ABCDEFGHIJKLMNOPQRSTUVWXYZ";"ABCDEFGHIJKLMNOPQRSTUVWXYZ2345678"
"Диск Плетта";Бумага;2;"HJQXNGOVRBLTZCIPWEDMUFAKSY";"PFQRANYUGS BHTCMXEDOZIKWLJV"
"Диск Ч.Уитстона";Бумага;2;"FBKSYRDLTZAGMUNHOVCIPWEJQX";"BCDEFGHIJKLMNOPQRSTUVWXYZ A"
"Устройство Дж.Фонтанна";Бумага;5;"abcdefghijklmnopqrsturabcdefghijklmnopqrstur";"abcdefghijklmnopqrsturabcdefghijklmnopqrstur";"abcdefghijklmnopqrsturabcdefghijklmnopqrstur";"abcdefghijklmnopqrsturabcdefghijklmnopqrstur";"abcdefghijklmnopqrsturabcdefghijklmnopqrstur"

